"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2024","0.112097","0.108793","0.112430","0.108560","458.11M","3.04%"
"01/24/2024","0.108791","0.107221","0.108831","0.106914","391.24M","1.46%"
"01/23/2024","0.107221","0.109305","0.109943","0.106157","557.87M","-1.91%"
"01/22/2024","0.109303","0.108950","0.109782","0.108031","393.03M","0.33%"
"01/21/2024","0.108944","0.110048","0.111558","0.108903","276.02M","-0.99%"
"01/20/2024","0.110038","0.110457","0.110720","0.109732","254.39M","-0.38%"
"01/19/2024","0.110457","0.108117","0.110467","0.106997","463.25M","2.16%"
"01/18/2024","0.108116","0.108383","0.109822","0.106994","429.43M","-0.25%"
"01/17/2024","0.108383","0.108067","0.109280","0.107485","316.97M","0.29%"
"01/16/2024","0.108065","0.108657","0.110515","0.107569","452.70M","-0.55%"
"01/15/2024","0.108667","0.111209","0.114389","0.107862","610.08M","-2.29%"
"01/14/2024","0.111211","0.114231","0.117608","0.111062","598.20M","-2.64%"
"01/13/2024","0.114231","0.106912","0.116067","0.106245","1.19B","6.85%"
"01/12/2024","0.106908","0.106199","0.107988","0.105828","526.60M","0.67%"
"01/11/2024","0.106191","0.105206","0.107557","0.104757","530.29M","0.94%"
"01/10/2024","0.105207","0.102766","0.105769","0.102754","461.90M","2.37%"
"01/09/2024","0.102775","0.104204","0.104503","0.101632","416.59M","-1.37%"
"01/08/2024","0.104204","0.102771","0.104221","0.101160","442.07M","1.39%"
"01/07/2024","0.102771","0.103885","0.104102","0.102558","204.32M","-1.06%"
"01/06/2024","0.103874","0.104378","0.104384","0.101770","355.06M","-0.48%"
"01/05/2024","0.104378","0.106949","0.107108","0.103288","471.27M","-2.41%"
"01/04/2024","0.106951","0.106723","0.108610","0.106368","453.64M","0.21%"
"01/03/2024","0.106723","0.108307","0.109962","0.103585","682.72M","-1.46%"
"01/02/2024","0.108302","0.107711","0.110504","0.107575","467.61M","0.53%"
"01/01/2024","0.107733","0.107665","0.108321","0.106122","280.64M","0.06%"
"12/31/2023","0.107663","0.105958","0.108966","0.105647","340.59M","1.60%"
"12/30/2023","0.105965","0.105609","0.107116","0.105149","292.59M","0.34%"
"12/29/2023","0.105608","0.105474","0.106707","0.104770","375.71M","0.13%"
"12/28/2023","0.105475","0.105336","0.106387","0.104507","377.41M","0.13%"
"12/27/2023","0.105343","0.103035","0.105393","0.102464","311.15M","2.24%"
"12/26/2023","0.103033","0.105875","0.106454","0.102103","500.70M","-2.68%"
"12/25/2023","0.105875","0.106182","0.108381","0.105534","437.75M","-0.29%"
"12/24/2023","0.106182","0.106749","0.107488","0.105386","349.63M","-0.53%"
"12/23/2023","0.106749","0.105067","0.106914","0.104061","300.43M","1.60%"
"12/22/2023","0.105067","0.104645","0.105068","0.103854","300.59M","0.40%"
"12/21/2023","0.104645","0.102727","0.104843","0.102665","289.87M","1.87%"
"12/20/2023","0.102728","0.100602","0.103274","0.100597","284.33M","2.11%"
"12/19/2023","0.100601","0.100904","0.101566","0.100045","279.55M","-0.30%"
"12/18/2023","0.100902","0.102031","0.102074","0.097928","472.45M","-1.11%"
"12/17/2023","0.102031","0.102827","0.103344","0.102014","254.42M","-0.77%"
"12/16/2023","0.102827","0.101553","0.103154","0.101183","291.79M","1.25%"
"12/15/2023","0.101553","0.106018","0.106274","0.101456","365.30M","-4.20%"
"12/14/2023","0.106006","0.104289","0.106067","0.103904","328.32M","1.65%"
"12/13/2023","0.104290","0.103589","0.104501","0.101898","354.02M","0.67%"
"12/12/2023","0.103591","0.103828","0.105092","0.103006","338.19M","-0.23%"
"12/11/2023","0.103828","0.107853","0.107936","0.102415","504.87M","-3.71%"
"12/10/2023","0.107828","0.106651","0.108462","0.106499","312.87M","1.10%"
"12/09/2023","0.106651","0.106638","0.108657","0.106385","411.17M","0.01%"
"12/08/2023","0.106637","0.104166","0.107202","0.104166","476.26M","2.35%"
"12/07/2023","0.104191","0.104750","0.105526","0.103039","340.88M","-0.54%"
"12/06/2023","0.104752","0.103567","0.106045","0.102489","524.81M","1.15%"
"12/05/2023","0.103556","0.103842","0.104164","0.102523","347.94M","-0.27%"
"12/04/2023","0.103841","0.103075","0.105731","0.102395","492.70M","0.74%"
"12/03/2023","0.103075","0.103169","0.103988","0.102607","276.11M","-0.09%"
"12/02/2023","0.103169","0.103068","0.103581","0.102304","252.98M","0.10%"
"12/01/2023","0.103067","0.103483","0.104120","0.102722","301.71M","-0.39%"
"11/30/2023","0.103473","0.103446","0.104263","0.102938","306.02M","0.03%"
"11/29/2023","0.103446","0.102936","0.104034","0.102778","341.38M","0.49%"
"11/28/2023","0.102937","0.101908","0.103689","0.099995","506.42M","1.01%"
"11/27/2023","0.101909","0.107783","0.107968","0.101828","454.89M","-5.45%"
"11/26/2023","0.107782","0.108910","0.109936","0.107132","292.54M","-1.00%"
"11/25/2023","0.108876","0.104701","0.108899","0.104634","518.66M","3.99%"
